label,text
fake,A viral social media post claims that all banks will shut permanently by tonight because of a hidden emergency order.
fake,A viral social media post claims that all banks will shut permanently by next Friday because of a hidden emergency order.
fake,A viral social media post claims that all banks will shut permanently within 24 hours because of a hidden emergency order.
fake,A viral social media post claims that all banks will shut permanently by tonight after a secret cabinet decision.
fake,A viral social media post claims that all banks will shut permanently by next Friday after a secret cabinet decision.
fake,A viral social media post claims that all banks will shut permanently within 24 hours after a secret cabinet decision.
fake,A viral social media post claims that all banks will shut permanently by tonight as per leaked documents with no source.
fake,A viral social media post claims that all banks will shut permanently by next Friday as per leaked documents with no source.
fake,A viral social media post claims that all banks will shut permanently within 24 hours as per leaked documents with no source.
fake,A viral social media post claims that all banks will shut permanently by tonight according to unnamed insiders.
fake,A viral social media post claims that all banks will shut permanently by next Friday according to unnamed insiders.
fake,A viral social media post claims that all banks will shut permanently within 24 hours according to unnamed insiders.
fake,A viral social media post claims that national exams are cancelled forever by tonight because of a hidden emergency order.
fake,A viral social media post claims that national exams are cancelled forever by next Friday because of a hidden emergency order.
fake,A viral social media post claims that national exams are cancelled forever within 24 hours because of a hidden emergency order.
fake,A viral social media post claims that national exams are cancelled forever by tonight after a secret cabinet decision.
fake,A viral social media post claims that national exams are cancelled forever by next Friday after a secret cabinet decision.
fake,A viral social media post claims that national exams are cancelled forever within 24 hours after a secret cabinet decision.
fake,A viral social media post claims that national exams are cancelled forever by tonight as per leaked documents with no source.
fake,A viral social media post claims that national exams are cancelled forever by next Friday as per leaked documents with no source.
fake,A viral social media post claims that national exams are cancelled forever within 24 hours as per leaked documents with no source.
fake,A viral social media post claims that national exams are cancelled forever by tonight according to unnamed insiders.
fake,A viral social media post claims that national exams are cancelled forever by next Friday according to unnamed insiders.
fake,A viral social media post claims that national exams are cancelled forever within 24 hours according to unnamed insiders.
fake,A viral social media post claims that mobile towers will stop forever by tonight because of a hidden emergency order.
fake,A viral social media post claims that mobile towers will stop forever by next Friday because of a hidden emergency order.
fake,A viral social media post claims that mobile towers will stop forever within 24 hours because of a hidden emergency order.
fake,A viral social media post claims that mobile towers will stop forever by tonight after a secret cabinet decision.
fake,A viral social media post claims that mobile towers will stop forever by next Friday after a secret cabinet decision.
fake,A viral social media post claims that mobile towers will stop forever within 24 hours after a secret cabinet decision.
fake,A viral social media post claims that mobile towers will stop forever by tonight as per leaked documents with no source.
fake,A viral social media post claims that mobile towers will stop forever by next Friday as per leaked documents with no source.
fake,A viral social media post claims that mobile towers will stop forever within 24 hours as per leaked documents with no source.
fake,A viral social media post claims that mobile towers will stop forever by tonight according to unnamed insiders.
fake,A viral social media post claims that mobile towers will stop forever by next Friday according to unnamed insiders.
fake,A viral social media post claims that mobile towers will stop forever within 24 hours according to unnamed insiders.
fake,A viral social media post claims that electricity bills are cancelled for everyone by tonight because of a hidden emergency order.
fake,A viral social media post claims that electricity bills are cancelled for everyone by next Friday because of a hidden emergency order.
fake,A viral social media post claims that electricity bills are cancelled for everyone within 24 hours because of a hidden emergency order.
fake,A viral social media post claims that electricity bills are cancelled for everyone by tonight after a secret cabinet decision.
fake,A viral social media post claims that electricity bills are cancelled for everyone by next Friday after a secret cabinet decision.
fake,A viral social media post claims that electricity bills are cancelled for everyone within 24 hours after a secret cabinet decision.
fake,A viral social media post claims that electricity bills are cancelled for everyone by tonight as per leaked documents with no source.
fake,A viral social media post claims that electricity bills are cancelled for everyone by next Friday as per leaked documents with no source.
fake,A viral social media post claims that electricity bills are cancelled for everyone within 24 hours as per leaked documents with no source.
fake,A viral social media post claims that electricity bills are cancelled for everyone by tonight according to unnamed insiders.
fake,A viral social media post claims that electricity bills are cancelled for everyone by next Friday according to unnamed insiders.
fake,A viral social media post claims that electricity bills are cancelled for everyone within 24 hours according to unnamed insiders.
fake,A viral social media post claims that passports are no longer required worldwide by tonight because of a hidden emergency order.
fake,A viral social media post claims that passports are no longer required worldwide by next Friday because of a hidden emergency order.
fake,A viral social media post claims that passports are no longer required worldwide within 24 hours because of a hidden emergency order.
