label,text
fake,"Viral message claims scientists proved the moon is made of industrial foam and governments hid it for decades."
real,"The city council approved the 2026 transport budget after a public hearing and published the full document online."
fake,"A social media post says drinking silver water cures every known disease in less than one day."
real,"The national weather agency issued an official advisory about heavy rainfall for coastal districts this weekend."
fake,"Anonymous blog reports that all banks will shut down permanently next Friday based on a secret memo."
real,"The education ministry released board exam dates on its official website with district-wise schedules and guidelines."
fake,"Unverified video claims a celebrity became president overnight after a hidden constitutional update."
real,"Parliament passed a tax amendment bill and the finance department released a press note with implementation dates."
fake,"A forwarded message says mobile towers will stop working forever because of a global magnet storm tomorrow."
real,"The state health department confirmed a vaccination drive with registered centers listed in the public dashboard."
fake,"A rumor claims that students no longer need exams because schools are replacing marks with horoscope ratings."
real,"The university announced a revised admission process and uploaded official eligibility criteria in the admissions portal."
fake,"Clickbait article says a company invented a chip that reads thoughts from ten kilometers away without devices."
real,"The transport authority introduced digital ticketing on three bus routes and published the rollout timeline."
fake,"A post claims the stock market doubled in one hour due to a hidden government algorithm."
real,"The central bank kept interest rates unchanged according to the policy statement released after the committee meeting."
fake,"A viral headline says doctors discovered that sleeping two hours daily guarantees a lifespan of 150 years."
real,"The public works department opened bids for highway repair and listed contractors in the tender bulletin."
fake,"Meme pages report that passports are no longer needed for international travel because borders were quietly removed."
real,"Airport authorities announced temporary runway maintenance and updated flight advisories for affected dates."
fake,"Online thread says eating only chocolate for a week permanently improves memory according to secret research."
real,"Researchers from a public university published peer-reviewed findings on nutrition in an indexed medical journal."
fake,"A channel claims electricity bills are canceled forever if users type a code into a messaging app."
real,"The power utility clarified billing rules in an official FAQ and warned citizens against circulating scams."
fake,"Conspiracy article alleges that rainfall is controlled daily by hidden satellites owned by private influencers."
real,"The meteorological office explained rainfall variation using seasonal wind patterns in its monthly climate report."
fake,"A sensational post says all digital payments will vanish tonight because the internet license expired globally."
real,"The telecom regulator announced routine maintenance windows and confirmed national internet services remain active."
fake,"Unverified account claims schools will replace teachers with robots in every classroom by next Monday."
real,"The school board approved a pilot digital lab program in five schools and published scope limits for phase one."
